epoch,train_loss,val_psnr,val_ssim,val_mae,lr,epoch_seconds
1,0.45576204,8.206895,0.24392290,0.34280483,0.0009998287,17.214
2,0.41981138,9.316151,0.33108322,0.29322468,0.0009993148,16.282
3,0.38064574,9.592823,0.35814454,0.28358107,0.0009984587,16.280
4,0.33731271,10.704691,0.46488263,0.24529890,0.0009972609,16.238
5,0.29956461,11.680568,0.54052943,0.21644162,0.0009957224,16.223
6,0.27227040,12.068360,0.57281767,0.20620777,0.0009938442,16.264
7,0.25207173,12.305967,0.60828738,0.20147353,0.0009916275,16.281
8,0.24500534,12.610550,0.61214343,0.19233549,0.0009890738,16.261
9,0.24137020,12.516089,0.62066883,0.19505136,0.0009861850,16.223
10,0.23822119,12.751193,0.60622777,0.18949734,0.0009829629,16.300
11,0.23695993,12.820435,0.61641650,0.18749466,0.0009794099,16.256
12,0.23831954,12.719033,0.63290779,0.19084489,0.0009755283,16.287
13,0.23391619,12.805720,0.62760119,0.18792477,0.0009713207,16.316
14,0.23270753,12.741277,0.63712214,0.19050650,0.0009667902,16.128
15,0.23432489,12.763683,0.64072949,0.18950221,0.0009619398,16.285
16,0.23217147,12.801708,0.62469117,0.18787343,0.0009567727,16.240
17,0.23297766,12.779691,0.64079945,0.18893790,0.0009512926,16.295
18,0.23455834,12.835946,0.61967102,0.18761627,0.0009455033,16.212
19,0.23126471,12.788646,0.64112419,0.18853349,0.0009394086,16.172
20,0.23246031,12.848709,0.60205039,0.18744825,0.0009330127,16.211
21,0.23541664,12.708556,0.64181100,0.19176129,0.0009263201,16.251
22,0.23144474,12.830980,0.63189593,0.18734959,0.0009193353,16.195
23,0.23354959,12.756954,0.65084697,0.18977460,0.0009120631,16.253
24,0.23123781,12.773916,0.64374910,0.18942422,0.0009045085,16.256
25,0.23472253,12.792864,0.64245199,0.18850488,0.0008966767,16.261
26,0.23187653,12.819405,0.62729590,0.18799721,0.0008885730,16.223
27,0.23155668,12.641280,0.64743868,0.19411657,0.0008802030,16.159
28,0.23405962,12.807043,0.64256752,0.18817538,0.0008715724,16.423
29,0.23383026,12.807487,0.64058822,0.18815322,0.0008626872,16.310
30,0.23473191,12.791319,0.64672288,0.18873298,0.0008535534,16.274
31,0.23300491,12.826890,0.63246964,0.18770973,0.0008441773,16.241
32,0.23407920,12.820970,0.63368045,0.18761230,0.0008345653,16.380
33,0.22896933,12.770326,0.64862306,0.18949894,0.0008247240,16.157
34,0.23088220,12.847178,0.62318051,0.18699081,0.0008146602,16.270
35,0.23149416,12.831545,0.62879783,0.18744920,0.0008043807,16.367
