epoch,train_loss,val_psnr,val_ssim,val_mae,lr,epoch_seconds
1,0.46002370,7.754022,0.19731680,0.36750985,0.0009998287,16.049
2,0.42023575,8.638926,0.29937927,0.32573175,0.0009993148,15.941
3,0.37178430,9.863657,0.42038397,0.27659861,0.0009984587,15.984
4,0.29824006,11.522410,0.54880682,0.22187985,0.0009972609,15.915
5,0.25623096,12.548555,0.60126999,0.19432390,0.0009957224,15.879
6,0.24331561,12.793806,0.60519893,0.18831635,0.0009938442,16.050
7,0.23838089,12.820527,0.61045267,0.18766448,0.0009916275,15.902
8,0.24008040,12.823431,0.61302258,0.18761118,0.0009890738,15.943
9,0.23626211,12.834657,0.60895878,0.18733513,0.0009861850,15.789
10,0.23798279,12.837483,0.60224843,0.18748941,0.0009829629,15.980
11,0.23903520,12.842233,0.61053348,0.18707508,0.0009794099,16.677
12,0.23803881,12.843368,0.61113594,0.18701898,0.0009755283,15.939
13,0.23872904,12.832527,0.61684150,0.18731014,0.0009713207,15.909
14,0.23877630,12.844848,0.60524814,0.18717692,0.0009667902,16.170
15,0.23630057,12.827575,0.62105259,0.18748451,0.0009619398,16.034
16,0.23603320,12.840710,0.61335434,0.18707534,0.0009567727,15.838
17,0.23318931,12.817975,0.62534444,0.18780285,0.0009512926,16.573
18,0.23555562,12.842129,0.60192178,0.18740932,0.0009455033,16.111
19,0.23170243,12.845587,0.61460397,0.18690572,0.0009394086,16.102
20,0.23609322,12.838036,0.62340727,0.18705084,0.0009330127,16.419
21,0.23713133,12.833988,0.62637445,0.18717017,0.0009263201,15.899
22,0.23585625,12.839594,0.62505832,0.18696530,0.0009193353,15.777
23,0.23715827,12.848218,0.61791033,0.18678600,0.0009120631,15.893
24,0.23719554,12.849730,0.61760485,0.18670725,0.0009045085,15.881
25,0.23577299,12.845755,0.62272242,0.18675145,0.0008966767,15.975
26,0.23455980,12.837703,0.62697393,0.18700970,0.0008885730,21.730
27,0.23214137,12.852523,0.61633568,0.18661786,0.0008802030,15.838
28,0.23533336,12.832395,0.62985620,0.18720113,0.0008715724,15.875
29,0.23632836,12.842121,0.61229914,0.18722479,0.0008626872,16.190
30,0.23390948,12.843621,0.62564279,0.18675489,0.0008535534,16.202
