epoch,train_loss,val_psnr,val_ssim,val_mae,lr,epoch_seconds
1,0.44750064,7.846016,0.20303593,0.36129343,0.0009998287,49.786
2,0.39763838,9.101809,0.31749952,0.30201299,0.0009993148,17.069
3,0.35285700,9.974515,0.39739792,0.26967962,0.0009984587,16.767
4,0.32507938,10.775176,0.46443903,0.24327275,0.0009972609,16.600
5,0.29106072,11.520901,0.52374606,0.22060061,0.0009957224,16.511
6,0.26950177,12.000244,0.55030249,0.20732892,0.0009938442,16.528
7,0.25793689,12.220073,0.57686162,0.20200053,0.0009916275,16.791
8,0.24758939,12.418304,0.58855666,0.19698590,0.0009890738,16.725
9,0.24485829,12.566474,0.59865467,0.19348842,0.0009861850,16.623
10,0.24286210,12.686531,0.60464780,0.19071562,0.0009829629,16.729
11,0.24046230,12.770673,0.60461840,0.18884874,0.0009794099,16.627
12,0.23786057,12.792232,0.60396498,0.18839396,0.0009755283,16.764
13,0.23644366,12.807985,0.61265942,0.18786791,0.0009713207,16.429
14,0.23689474,12.829179,0.61221950,0.18738380,0.0009667902,15.320
15,0.23694422,12.832084,0.61429814,0.18730627,0.0009619398,20.618
16,0.23440132,12.814885,0.62215051,0.18770482,0.0009567727,16.281
17,0.23814277,12.822842,0.62359686,0.18750364,0.0009512926,15.928
18,0.23568607,12.837133,0.62041457,0.18708084,0.0009455033,15.334
19,0.23198080,12.837405,0.62268420,0.18702291,0.0009394086,15.503
20,0.24033022,12.839224,0.61588497,0.18710170,0.0009330127,14.831
21,0.23714054,12.841669,0.61986153,0.18690247,0.0009263201,14.573
22,0.23314799,12.843902,0.61129589,0.18709074,0.0009193353,14.566
23,0.23597470,12.847073,0.61641999,0.18687411,0.0009120631,14.567
24,0.23471139,12.847826,0.62089501,0.18668009,0.0009045085,14.637
25,0.23188238,12.843274,0.62114304,0.18695715,0.0008966767,14.594
26,0.23463222,12.838427,0.62526518,0.18697871,0.0008885730,14.711
27,0.23041300,12.846418,0.61380829,0.18701184,0.0008802030,15.648
28,0.23144912,12.843798,0.62279086,0.18689007,0.0008715724,16.135
29,0.23353306,12.842891,0.62406738,0.18690465,0.0008626872,16.408
30,0.23564487,12.845273,0.61208804,0.18707671,0.0008535534,16.305
