epoch,train_loss,val_psnr,val_ssim,val_mae,lr,epoch_seconds
1,0.45575858,8.207500,0.24397228,0.34277651,0.0009997533,43.617
2,0.41980038,9.320627,0.32978972,0.29295672,0.0009990134,30.922
3,0.38073301,9.680386,0.36773419,0.28018745,0.0009977810,30.187
4,0.33751370,10.648337,0.46029607,0.24685081,0.0009960574,30.001
5,0.30022886,11.753258,0.54475094,0.21506992,0.0009938442,30.077
6,0.27388750,12.139045,0.56610489,0.20385288,0.0009911436,30.011
7,0.25358157,12.264429,0.60360469,0.20270256,0.0009879584,30.377
8,0.24664552,12.606101,0.59999387,0.19240269,0.0009842916,30.325
9,0.24205537,12.501444,0.61668193,0.19521574,0.0009801468,29.886
10,0.23869619,12.731730,0.61016212,0.18983769,0.0009755283,29.696
11,0.23752778,12.834656,0.61663353,0.18713691,0.0009704404,29.637
12,0.23789385,12.778287,0.62969252,0.18899155,0.0009648882,29.709
13,0.23389084,12.811677,0.62758701,0.18762096,0.0009588773,29.687
14,0.23261940,12.819024,0.62953234,0.18771023,0.0009524135,29.675
15,0.23405494,12.808050,0.63739070,0.18803669,0.0009455033,29.612
16,0.23218775,12.804887,0.62960619,0.18802925,0.0009381533,29.665
17,0.23300207,12.767590,0.64001797,0.18953056,0.0009303710,29.723
18,0.23458912,12.829368,0.61879224,0.18774978,0.0009221640,29.584
19,0.23165467,12.802112,0.63711204,0.18809337,0.0009135403,30.073
20,0.23263390,12.845801,0.60611163,0.18744639,0.0009045085,29.865
21,0.23602580,12.807900,0.63717486,0.18803564,0.0008950775,29.681
22,0.23159843,12.802431,0.64142847,0.18824635,0.0008852566,29.729
23,0.23365629,12.731458,0.64976995,0.19072653,0.0008750555,29.851
24,0.23200250,12.845153,0.62371422,0.18687110,0.0008644843,29.795
25,0.23539494,12.794320,0.64480367,0.18850387,0.0008535534,29.587
26,0.23211110,12.824598,0.62212630,0.18792419,0.0008422736,29.819
27,0.23170293,12.726594,0.64986838,0.19103776,0.0008306559,29.826
28,0.23441827,12.795315,0.64662006,0.18849304,0.0008187120,30.059
29,0.23410561,12.825249,0.63610132,0.18757783,0.0008064535,29.605
30,0.23483631,12.787856,0.64571072,0.18899667,0.0007938926,29.594
31,0.23299256,12.833193,0.62454095,0.18764891,0.0007810417,29.732
32,0.23383657,12.848208,0.63172378,0.18682608,0.0007679134,29.560
33,0.22898378,12.805626,0.64540052,0.18819098,0.0007545207,29.683
34,0.23123056,12.849553,0.62001599,0.18698948,0.0007408768,29.673
35,0.23144826,12.840138,0.63607006,0.18699271,0.0007269952,29.872
36,0.23515009,12.830795,0.62848286,0.18750726,0.0007128896,29.802
37,0.23350597,12.830442,0.63292179,0.18766800,0.0006985739,30.124
38,0.23588580,12.846155,0.62404840,0.18699216,0.0006840623,30.278
39,0.23198717,12.817971,0.63793691,0.18791799,0.0006693690,30.314
40,0.23316754,12.801167,0.64796461,0.18842458,0.0006545085,29.739
41,0.23165730,12.810689,0.64515693,0.18817657,0.0006394956,29.931
42,0.23025905,12.698181,0.65334477,0.19211598,0.0006243449,29.875
43,0.23273426,12.745726,0.64650452,0.19057449,0.0006090716,29.821
44,0.23329027,12.827120,0.64034295,0.18751971,0.0005936907,30.093
45,0.23071055,12.832291,0.63509698,0.18742121,0.0005782172,29.881
46,0.23535475,12.821746,0.64267837,0.18761316,0.0005626666,29.883
47,0.23025331,12.774332,0.65321088,0.18926750,0.0005470542,30.054
48,0.23168023,12.688834,0.65119867,0.19265424,0.0005313953,30.128
49,0.23116023,12.718895,0.64866929,0.19160184,0.0005157054,29.990
50,0.23207270,12.761118,0.65147734,0.18985291,0.0005000000,29.778
51,0.22970320,12.786984,0.64669368,0.18899925,0.0004842946,29.986
52,0.22981950,12.702649,0.65604477,0.19193910,0.0004686047,29.806
53,0.23137990,12.807712,0.64542830,0.18808021,0.0004529458,29.989
54,0.22866993,12.771641,0.65414846,0.18950851,0.0004373334,29.948
55,0.22833880,12.807825,0.64711969,0.18812910,0.0004217828,29.846
56,0.23078678,12.844024,0.62238571,0.18728099,0.0004063093,29.717
57,0.22862867,12.810051,0.64985034,0.18806111,0.0003909284,31.249
58,0.22849351,12.812287,0.64742455,0.18799265,0.0003756551,30.199
59,0.22730604,12.740931,0.65236397,0.19078877,0.0003605044,30.210
60,0.23152611,12.829985,0.63958359,0.18750745,0.0003454915,35.112
61,0.23341530,12.809304,0.64559358,0.18812333,0.0003306310,30.004
62,0.22983266,12.750789,0.65492183,0.19028691,0.0003159377,29.717
63,0.23228257,12.829552,0.63832194,0.18760692,0.0003014261,29.750
64,0.23342511,12.724427,0.64815861,0.19132354,0.0002871104,29.699
65,0.23217818,12.795353,0.65041012,0.18854713,0.0002730048,29.903
66,0.22952698,12.784096,0.65142998,0.18897305,0.0002591232,29.791
67,0.23347398,12.712634,0.65174188,0.19179871,0.0002454793,29.767
68,0.23188196,12.697762,0.64926578,0.19234607,0.0002320866,30.021
69,0.23106818,12.831340,0.63894789,0.18746775,0.0002189583,29.930
70,0.22913895,12.679148,0.65278821,0.19303297,0.0002061074,29.606
71,0.22867951,12.799143,0.65155368,0.18845190,0.0001935465,29.581
72,0.22929895,12.771843,0.65365846,0.18950480,0.0001812880,29.713
73,0.23329319,12.765634,0.65386613,0.18969693,0.0001693441,29.576
74,0.23132327,12.756720,0.65724361,0.18997603,0.0001577264,29.546
75,0.22763684,12.821043,0.64634117,0.18771348,0.0001464466,29.708
76,0.23285052,12.777659,0.65332018,0.18925011,0.0001355157,29.726
77,0.22729158,12.688861,0.65038054,0.19263472,0.0001249445,29.897
