epoch,train_loss,val_psnr,val_ssim,val_mae,lr,epoch_seconds
1,0.43207076,8.087848,0.24399335,0.34963690,0.0009997533,31.247
2,0.39412288,9.003826,0.34392568,0.30824339,0.0009990134,31.479
3,0.35413780,9.965031,0.42868747,0.27024088,0.0009977810,32.007
4,0.30720144,10.912195,0.50816912,0.23858004,0.0009960574,31.883
5,0.28250099,11.519063,0.55405071,0.22151495,0.0009938442,31.150
6,0.25920629,12.049331,0.57644257,0.20664062,0.0009911436,30.938
7,0.25321080,12.387629,0.56920889,0.19776256,0.0009879584,30.894
8,0.24779978,12.606903,0.59055510,0.19255801,0.0009842916,30.949
9,0.24280987,12.650473,0.61105260,0.19146529,0.0009801468,30.997
10,0.23683249,12.778647,0.60681830,0.18850908,0.0009755283,31.090
11,0.24202255,12.796473,0.60399710,0.18831560,0.0009704404,31.790
12,0.23274511,12.796889,0.62275441,0.18806589,0.0009648882,30.997
13,0.23449215,12.827872,0.60160211,0.18778028,0.0009588773,30.896
14,0.23056549,12.816319,0.62279870,0.18754444,0.0009524135,31.288
15,0.23316627,12.841500,0.60914986,0.18718008,0.0009455033,38.608
16,0.23515103,12.846770,0.61268765,0.18685304,0.0009381533,39.076
17,0.23543035,12.830204,0.62667659,0.18714268,0.0009303710,35.005
18,0.23671807,12.845838,0.60555033,0.18714704,0.0009221640,33.520
19,0.23435454,12.820770,0.63303964,0.18743473,0.0009135403,36.003
20,0.23357127,12.816865,0.63157283,0.18763556,0.0009045085,33.583
21,0.23435004,12.821946,0.63173865,0.18741358,0.0008950775,33.123
22,0.23522803,12.846049,0.61047079,0.18705575,0.0008852566,33.951
23,0.23321591,12.841925,0.60355555,0.18738506,0.0008750555,37.726
24,0.23213535,12.738930,0.64419195,0.19040164,0.0008644843,37.156
