epoch,train_loss,val_psnr,val_ssim,val_mae,lr,epoch_seconds
1,0.45576202,8.207066,0.24393608,0.34279723,0.0009755283,17.393
2,0.42036685,9.319763,0.33045682,0.29303475,0.0009045085,16.308
3,0.38316242,9.501474,0.35031701,0.28691444,0.0007938926,16.234
4,0.34543300,10.446556,0.43702906,0.25287750,0.0006545085,16.327
5,0.31735951,11.322077,0.50899610,0.22606104,0.0005000000,16.197
6,0.29562842,11.592358,0.53841968,0.21886680,0.0003454915,16.329
7,0.27923950,11.725815,0.54405433,0.21515656,0.0002061074,16.214
8,0.27310801,11.929329,0.56005438,0.20924339,0.0000954915,16.298
9,0.27132352,11.885011,0.56085607,0.21039461,0.0000244717,16.252
10,0.26980896,11.976533,0.56082736,0.20764183,0.0000000000,16.324
