epoch,train_loss,val_psnr,val_ssim,val_mae,lr,epoch_seconds
1,0.43397147,8.429495,0.26578850,0.33101604,0.0009755283,16.247
2,0.39816692,9.470265,0.38119455,0.28898294,0.0009045085,16.285
3,0.36056637,10.052583,0.44307145,0.26768854,0.0007938926,16.227
4,0.31655633,10.875415,0.49918552,0.23966020,0.0006545085,16.956
5,0.29699991,11.282125,0.53066668,0.22753539,0.0005000000,16.193
6,0.27599793,11.633266,0.54852761,0.21731786,0.0003454915,16.216
7,0.27121019,11.781167,0.54974815,0.21302721,0.0002061074,16.078
8,0.26752082,11.893739,0.55873679,0.21022299,0.0000954915,16.268
9,0.26590849,11.914309,0.55854028,0.20958219,0.0000244717,16.150
10,0.26181700,11.938382,0.56064843,0.20904116,0.0000000000,16.196
