epoch,train_loss,val_psnr,val_ssim,val_mae,lr,epoch_seconds
1,0.43206711,8.089314,0.24413328,0.34956370,0.0009755283,16.288
2,0.39458334,8.985678,0.34219582,0.30900238,0.0009045085,16.101
3,0.35714703,9.838307,0.41825567,0.27490243,0.0007938926,16.111
4,0.31484342,10.667212,0.48918161,0.24607373,0.0006545085,16.093
5,0.29520475,11.114742,0.52515665,0.23273603,0.0005000000,16.159
6,0.27544183,11.495070,0.54456440,0.22131241,0.0003454915,16.093
7,0.27029295,11.744924,0.54970427,0.21414575,0.0002061074,16.363
8,0.26666234,11.895157,0.56189412,0.21025641,0.0000954915,16.131
9,0.26426181,11.908719,0.55932419,0.20976454,0.0000244717,16.215
10,0.26041347,11.925007,0.56353746,0.20947920,0.0000000000,16.153
