epoch,train_loss,val_psnr,val_ssim,val_mae,lr,epoch_seconds
1,0.46002380,7.754008,0.19731501,0.36751048,0.0009755283,15.946
2,0.42071616,8.619472,0.29725550,0.32658713,0.0009045085,16.175
3,0.37601761,9.663838,0.40293462,0.28421760,0.0007938926,16.088
4,0.31258877,11.038255,0.50827850,0.23581566,0.0006545085,16.033
5,0.27400627,11.997298,0.57817250,0.20895592,0.0005000000,16.139
6,0.25284753,12.488283,0.58797219,0.19551129,0.0003454915,16.288
7,0.24396656,12.630501,0.59587519,0.19202503,0.0002061074,16.433
8,0.24403979,12.670314,0.60583290,0.19120921,0.0000954915,16.050
9,0.24016072,12.665831,0.60646097,0.19135905,0.0000244717,16.176
10,0.24167130,12.711189,0.60203677,0.19014903,0.0000000000,15.041
