epoch,train_loss,val_psnr,val_ssim,val_mae,lr,epoch_seconds
1,0.44758093,7.982182,0.22034745,0.35493243,0.0009755283,16.329
2,0.39901851,9.066058,0.31389628,0.30344537,0.0009045085,16.182
3,0.35575804,9.894091,0.39063381,0.27257798,0.0007938926,16.542
4,0.33181080,10.559848,0.44892050,0.25022381,0.0006545085,16.250
5,0.30406989,11.098901,0.48825512,0.23320115,0.0005000000,16.295
6,0.28837151,11.442230,0.51653165,0.22330119,0.0003454915,16.218
7,0.27928900,11.635354,0.53060813,0.21761151,0.0002061074,16.320
8,0.27000192,11.721279,0.53512174,0.21509235,0.0000954915,16.294
9,0.27052818,11.770990,0.53551771,0.21368373,0.0000244717,16.283
10,0.27072576,11.794289,0.53689221,0.21310587,0.0000000000,16.261
